**COMMON**,,
50015,"Invalid value '{0}' of field '{1}', expected '{2}'",Entered value does not correspond to the date format. Please enter value in date format YYYY-MM-DD
50016,"Envelope document with ID '{0}' was not found in template",Document in envelope has wrong ID
50017,Envelope document {0} not found in XML structure,Document was not found in XML structure of the envelope
50018,Envelope sender not found,Sender was not found in XML structure of the envelope
50019,Compiled document {0} not found in file storage,Document which has been compiled was not found in the file storage. Try to regenerate document
50020,Label {0} not found,Label with particular UUID was not found
50021,Envelope attachment field not found in document {0},External document attachment is not found in the document. Please check your request upload document and send again
50022,Duplicated field name: {0},"Name of the fields are duplicated. Please change the name of the field, because duplicated name is forbidden"
50023,Table should have at least 1 row,Table should have at least 1 row
50024,Signature {0} in document {1} is made using not a stamp key,"It's impossible to set stamp on the document without using a stamp key. To set stamp please use key with stamp option"
50025,This is no active Signer role in envelope at the moment,"It's not a time to sign anything"
50026,Cumulative envelope attachments size exceeded limit,Cumulative attachments size uploaded to the envelope is exceeded allowed size limit
50027,Duplicated attachment IDs: {0},Attachment IDs are duplicated in the document. Attachment IDs should be unique
50028,Lookup source not found,Source of the lookup field was not found. Please check that dictionary or value in the dictionary still available
50029,Lookup value does not match,"Value of the lookup field in request does not match to value in the dictionary. Please check your request, compare with dictionary and send again"
50030,"Invalid value '{0}' for number value of field '{1}'",Invalid format of value has been entered to the number field. Number field accepts only numeric values
50031,There is no need to sign the document {0},"There is no signature required from particular mailbox, or it was not the right step of the signing process"
50032,"There is a validation error for signature with type '{0}' and message: {1}",Please check signature data in the request
50033,No XML data for envelope,Please check envelope XML data in the request
50034,"Attachment '{0}' file type mismatch","Attachment file type is not correspond to allowed file types. Allowed file types: pdf, doc, docx, xls, xlsx, xml, dbf, txt, rtf, png, jpg, jpeg, zip. Allowed file types can be minimized according to field settings in template."
50035,Mailbox no longer has access to envelope,The access to the envelope has been revoked
50036,Cannot archive envelope which is not in a final status: {0},"It's impossible to archive an envelope if it's not in a final status, such as COMPLETED, CANCELLED or EXPIRED"
50037,"Bad base64 value of field '{0}'","Binary data is invalid, please check that file you're trying to send properly encoded in BASE64"
50038,"Expected '{0}' image type for field '{1}'",Image type format is incorrect. Please pay attention to the file format in error code and use respective file format to this field.
50039,Maximum expected image size is {0} x {1},Image size does not fit into maximum width and height limits. Please use image with size less than maximum values.
50040,Simple electronic signature is not created,"Image of the SES is not correct, please check that image has at least 15px of the painted area"
50041,Attachment {0} file not found,Attachment with entered UUID was not found. Please check correctness of the entered value
50042,File {0} was not found for envelope {1},File with entered UUID was not found in the entered envelope. Please check correctness of the entered values
50043,No envelope UUID in request,Please check envelope UUID in the request
50044,Label already exists,Label with respective name is exist. Please use existing or create new one with a different name
50045,Found role without mailboxUuid defined,"One of the roles doesn't have mailbox UUID in data of the envelope"
50046,"Signature data not found for signature '{0}' at document '{1}'","Signature field does not have signature data, please check that you fill required signature field with valid data"
50047,Signers do not match for signature {0},"PDF and text files are signed by different signers, please sign document by one Signer and send request again"
50048,Signature data not found for source {0} in document {1},Signature is not found in the list of signatures
50049,No active role for mailbox {0},"Mailbox UUID by which you're trying to send request does not have active role in particular envelope. Please wait for your turn."
50050,Wrong envelope status,Envelope status is wrong for this action and cannot be processed.
50051,Attachment is already used,Attachment with entered UUID was already used in this envelope
50052,Certificate not qualified for signature {0} in document {1},"Required qualified certificate to sign data, but not qualified used"
50053,Invitation envelope {0} not found,"Envelope for the invitation not found, inconsistent data"
50054,Accepted envelopes list is empty,List of UUID for accepting is empty
50055,Invitations for envelopes {0} not found,Some envelope requests have no invitations for this user
50056,"Cannot approve invitation, envelope {0} is in final status",Envelope for invitation is in final state
50057,Role not found for invitation {0},Envelope has no role for email
50058,Role unavailable for processing {0},Envelope has no role for email
50059,ITN value not found for signature {0},No ITN value found to match during signing
50060,Expected ITN does not match the signature {0} in document {1},"The document was signed with wrong signature, please check ITN"
50061,Envelope scenario has no available steps,Envelope scenario has no available steps
50062,Cannot continue scenario with uncompleted envelope,Cannot continue scenario with uncompleted envelope
50063,Envelope has no scenario info,Envelope has no scenario information
50064,Parent of duplicate field {0} not found,Duplicate field does not have a parent field in the envelope
50065,Template {0} does not match envelope template {1},Make sure the templates match
50066,"Record UUID must be populated for field '{0}'","Please fill the 'recordUuid' attribute with proper value"
50067,"Attachment UUID has to be populated for field '{0}'","Please fill the 'attachmentUuid' attribute with proper value"
50068,Label UUID or name has to be specified,"Please fill the 'label' or 'labelUuid' request parameter"
50069,"Not enough UUIDs, at least {0} needed",Request has no enough UUIDs to merge/add into a chain
50070,No access to chain,Mailbox has no access to any envelope within this chain UUID
50071,Envelope {0} belongs to another chain,Envelope belongs to another chain
50072,Envelope added to chain by another user,Current user has no rights to remove envelope from the chain
50073,Envelopes belong to different chains,Envelopes belong to different chains
50074,Envelope belongs to automatically created chain,Envelope belongs to automatically created chain
50075,Approvers cannot participate in the envelope processing,One or more approvers are already in the main flow
50076,Approval is not allowed on envelope,"User cannot approve the envelope, it may have already been done"
50077,Rejection reason is required for approval,Please add comment for approval
50078,Wrong approval status,"Please send proper status, send APPROVED or REJECTED"
50079,Roles do not match template roles,Please check sent envelope XML for proper flow
50080,Approval {0} not found,Approval with entered UUID was not found for this envelope
50081,Cannot manage or start/cancel an approval,Current mailbox cannot manage or start/cancel an approval
50082,Approval cannot be cancelled,Approval flow is already completed and cannot be cancelled
50083,Mailbox must be unique in the approval,Please update the approval
50084,UUID of approvers have to be specified separately,Please send flowUuid or approvers
50085,Approval {0} is deleted,Approval with entered UUID is deleted and cannot be used
50086,Approver {0} is already in another approval for this envelope,Approvers cannot participate in several approval processes for one envelope
50087,Duplicate value does not match,Value of the duplicate field in request does not match to value in related field
50089,Envelope cannot be delegated,Delegation is forbidden for envelope
50090,Delegate cannot cancel the delegation,Only initiator of the delegation can cancel it
50091,Delegation not found or Initiator role is completed,Please check the delegation role
50092,Delegation or envelope is already completed,No further actions allowed
50093,Recipient field must be UUID or email,"Please check the 'recipient' field format"
50094,Search by field parameters has wrong format,Search by field parameters has wrong format
50095,Only sender can send notification,This user cannot send email notifications. Only sender can notify still uncompleted roles
50096,No envelopes to notify,Notifications have already been sent for envelopes
50097,Document does not have printable version,"Only PDF, DOC, DOCX can have printable version"
50098,Only completed envelopes can be shared by email,Please send only completed envelope UUIDs
50099,Only {0} envelopes are allowed for sharing,Please decrease number of envelopes
50100,Some columns cannot be deleted or hidden,Some columns have to be visible
50101,"File ''{0}'' cannot be edited because it already has digital signatures",Please choose another file
50102,"File ''{0}'' is encrypted",Please choose another file
50103,"No column ''{0}'' to sort",Wrong sortField
**DICTIONARY**,,
60001,Dictionary {0} not found,Dictionary with entered UUID was not found. Please check correctness of the entered data
60002,Dictionary name length exceeded limit,Dictionary name length is higher than maximum allowed. Limit is 128 symbols.
60003,Dictionary description length exceeded limit,Dictionary description length is higher than maximum allowed. Limit is 256 symbols.
60004,Dictionary name cannot be empty,Dictionary name is required and cannot be empty. Please set dictionary name
60005,Dictionary column not found,Dictionary column with entered UUID was not found in this dictionary
60006,Empty column UUID,Column UUID is required parameter for this request. Please enter column UUID to create valid request
60007,Dictionary column value not found,Dictionary column value with UUID in request is not found in the database. Please check correctness of your request
60008,Dictionary record {0} not found,Dictionary record with entered UUID was not found in this dictionary
60009,Dictionary {0} archived,Dictionary with entered UUID has been archived
